Set No.,Set Name,Player,Country,State Association,Age,Specialism,Batting,Bowling,IPL,Previous IPLTeam(s),2021 Team,C/U/A,Base Price,Sold Price,New Franchise,Bid
35,UFA4,Aditya Thakare,India,VCA,23,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
35,UFA4,Tanveer Ul Haq,India,RCA,30,BOWLER,RHB,LEFT ARM Fast,,,,Uncapped,20,,,UnSold
35,UFA4,Prithviraj Yarra,India,ACA,24,BOWLER,LHB,LEFT ARM Fast,2,"KKR, SRH",,Uncapped,20,,,UnSold
36,USP3,Satyajeet Bachhav,India,MACA,29,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,,,UnSold
36,USP3,Chintal Gandhi,India,BCA,27,BOWLER,LHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
36,USP3,Jacob Lintott,England,,28,BOWLER,RHB,LEFT ARM Slow Unorthodox,,,,Uncapped,20,,,UnSold
36,USP3,Izharulhuq Naveed,Afghanistan,,18,BOWLER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
36,USP3,Tanveer Sangha,Australia,,20,BOWLER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
36,USP3,Manav Suthar,India,RCA,19,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,,,UnSold
36,USP3,Milind Tandon,India,DDCA,28,BOWLER,RHB,LEFT ARM Slow Unorthodox,0,RPS,,Uncapped,20,,,UnSold
36,USP3,Sagar Udeshi,India,CAP,35,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,,,UnSold
36,USP3,Kushaal Wadhwani,India,KSCA,25,BOWLER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
36,USP3,Akshay Wakhare,India,VCA,36,BOWLER,RHB,RIGHT ARM Off Spin,,,,Uncapped,20,,,UnSold
37,BA5,Darren Bravo,West Indies,,33,BATSMAN,LHB,-,1,KKR,,Capped,75,,,UnSold
37,BA5,Shamrah Brooks,West Indies,,33,BATSMAN,RHB,RIGHT ARM Leg Spin,,,,Capped,50,,,UnSold
37,BA5,Avishka Fernando,Sri Lanka,,24,BATSMAN,RHB,RIGHT ARM Medium,,,,Capped,50,,,UnSold
37,BA5,Zubayr Hamza,South Africa,,26,BATSMAN,RHB,RIGHT ARM Leg Spin,,,,Capped,50,,,UnSold
37,BA5,Pathum Nissaanka,Sri Lanka,,23,BATSMAN,RHB,RIGHT ARM Off Spin,,,,Capped,50,,,UnSold
37,BA5,Kurtis Patterson,Australia,,29,BATSMAN,LHB,-,,,,Capped,50,,,UnSold
37,BA5,Hashmatullah Shahidi,Afghanistan,,27,BATSMAN,LHB,RIGHT ARM Off Spin,,,,Capped,50,,,UnSold
37,BA5,Manoj Tiwary,India,CAB,36,BATSMAN,RHB,RIGHT ARM Leg Spin,98,"DD, KKR, RPS, KXIP",,Capped,50,,,UnSold
38,AL5,Ashton Agar,Australia,,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Capped,200,,,UnSold
38,AL5,Carlos Brathwaite,West Indies,,33,ALL-ROUNDER,RHB,RIGHT ARM Fast,16,"DD, SRH, KKR",,Capped,75,,,UnSold
38,AL5,Kedar Jadhav,India,MACA,37,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,93,"KTK, DD, RCB, CSK, SRH",SRH,Capped,100,,,UnSold
38,AL5,Colin Munro,New Zealand,,35,ALL-ROUNDER,LHB,RIGHT ARM Medium,13,"KKR, DC",,Capped,150,,,UnSold
38,AL5,Gulbadin Naib,Afghanistan,,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,Capped,50,,,UnSold
38,AL5,Keemo Paul,West Indies,,24,ALL-ROUNDER,RHB,RIGHT ARM Fast,8,DC,,Capped,75,,,UnSold
38,AL5,Parvez Rasool,India,JKCA,33,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,11,"PWI,SRH, RCB",,Capped,50,,,UnSold
38,AL5,Dasun Shanaka,Sri Lanka,,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,Capped,50,,,UnSold
39,FA5,Wesley Agar,Australia,,25,BOWLER,RHB,RIGHT ARM Fast,,,,Capped,50,,,UnSold
39,FA5,Shoriful Islam,Bangladesh,,20,BOWLER,LHB,LEFT ARM Fast Medium,,,,Capped,50,,,UnSold
39,FA5,Josh Little,Ireland,,22,BOWLER,RHB,LEFT ARM Fast Medium,,,,Capped,50,,,UnSold
39,FA5,Blessing Muzarabani,Zimbabwe,,25,BOWLER,RHB,RIGHT ARM Fast,,,,Capped,50,,,UnSold
39,FA5,Jayden Seales,West Indies,,20,BOWLER,LHB,RIGHT ARM Fast,,,,Capped,50,,,UnSold
39,FA5,Mohit Sharma,India,HCA,33,BOWLER,RHB,RIGHT ARM Fast Medium,86,"KXIP, CSK, DC",,Capped,50,,,UnSold
