Set No.,Set Name,Player,Country,State Association,Age,Specialism,Batting,Bowling,IPL,Previous IPLTeam(s),2021 Team,C/U/A,Base Price,Sold Price,New Franchise,Bid
1,M,Trent Boult,New Zealand,,32,BOWLER,RHB,LEFT ARM Fast Medium,62,"SRH, KKR, DD,MI",MI,Capped,200,8 CR,Rajasthan Royals,Sold
1,M,Pat Cummins,Australia,,28,ALL-ROUNDER,RHB,RIGHT ARM Fast,37,"DD, MI, KKR",KKR,Capped,200,7.25 CR,Kolkata Knight Riders,Sold
1,M,Shikhar Dhawan,India,DDCA,36,BATSMAN,LHB,-,192,"DCH, MI, SRH, DC",DC,Capped,200,8.25 CR,Punjab Kings,Sold
1,M,Shreyas Iyer,India,MCA,27,BATSMAN,RHB,RIGHT ARM Leg Spin,87,DC,DC,Capped,200,12.25 CR,Kolkata Knight Riders,Sold
1,M,Kagiso Rabada,South Africa,,26,BOWLER,LHB,RIGHT ARM Fast,50,DC,DC,Capped,200,9.25 CR,Punjab Kings,Sold
1,M,Mohammad Shami,India,CAB,32,BOWLER,RHB,RIGHT ARM Fast,77,"DCH, KKR, DD, PBKS",PBKS,Capped,200,6.25 CR,Gujarat Titans,Sold
1,M,R. Ashwin,India,TNCA,35,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,167,"CSK, RSP, KXIP, DC",DC,Capped,200,5 CR,Rajasthan Royals,Sold
1,M,Quinton De Kock,South Africa,,29,WICKETKEEPER,LHB,-,77,"SRH, DD, RCB, MI",MI,Capped,200,6.75 CR,Lucknow Super Giants,Sold
1,M,Faf Du Plessis,South Africa,,37,BATSMAN,RHB,RIGHT ARM Leg Spin,100,"RPS, CSK",CSK,Capped,200,7 CR,Royal Challengers Bangalore,Sold
1,M,David Warner,Australia,,35,BATSMAN,LHB,-,150,"DD, SRH",SRH,Capped,200,6.25 CR,Delhi Capitals,Sold
2,BA1,Shimron Hetmyer,West Indies,,25,BATSMAN,LHB,RIGHT ARM Leg Spin,31,"RCB, DC",DC,Capped,150,8.5 CR,Rajasthan Royals,Sold
2,BA1,David Miller,South Africa,,32,BATSMAN,LHB,-,89,"KXIP, RR",RR,Capped,100,3 CR,Gujarat Titans,Sold
2,BA1,Devdutt Padikkal,India,KSCA,21,BATSMAN,LHB,RIGHT ARM Off Spin,29,RCB,RCB,Capped,200,7.75 CR,Rajasthan Royals,Sold
2,BA1,Manish Pandey,India,KSCA,32,BATSMAN,RHB,RIGHT ARM Off Spin,154,"MI, RCB, PWI, KKR, SRH",SRH,Capped,100,4.6 CR,Lucknow Super Giants,Sold
2,BA1,Jason Roy,England,,31,BATSMAN,RHB,-,13,"GL, DC, SRH",SRH,Capped,200,2 CR,Gujarat Titans,Sold
2,BA1,Robin Uthappa,India,KCA,36,BATSMAN,RHB,-,193,"MI, PWI, RCB, KKR, RR, CSK",CSK,Capped,200,2 CR,Chennai Super Kings,Sold
3,AL1,Dwayne Bravo,West Indies,,38,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,151,"MI, GL, CSK",CSK,Capped,200,4.4 CR,Chennai Super Kings,Sold
3,AL1,Wanindu Hasaranga,Sri Lanka,,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,2,RCB,RCB,Capped,100,10.75 CR,Royal Challengers Bangalore,Sold
3,AL1,Jason Holder,West Indies,,30,ALL-ROUNDER,RHB,RIGHT ARM Fast,26,"CSK, KKR, SRH",SRH,Capped,150,8.75 CR,Lucknow Super Giants,Sold
3,AL1,Mitchell Marsh,Australia,,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,21,"DCH, PWI, RPS, SRH",,Capped,200,6.50 CR,Delhi Capitals,Sold
3,AL1,Krunal Pandya,India,BCA,31,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,84,MI,MI,Capped,200,8.25 CR,Lucknow Super Giants,Sold
3,AL1,Harshal Patel,India,HCA,31,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,63,"DC, RCB",RCB,Capped,200,10.75 CR,Royal Challengers Bangalore,Sold
3,AL1,Nitish Rana,India,DDCA,28,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,77,"MI, KKR",KKR,Capped,100,8 CR,Kolkata Knight Riders,Sold
3,AL1,Washington Sundar,India,TNCA,22,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,42,RCB,RCB,Capped,150,8.75 CR,Sunrisers Hyderabad,Sold
4,WK1,Jonny Bairstow,England,,32,WICKETKEEPER,RHB,-,28,SRH,SRH,Capped,150,6.75 CR,Punjab Kings,Sold
4,WK1,Sam Billings,England,,30,WICKETKEEPER,RHB,-,22,"CSK, DC",DC,Capped,200,2 CR,Kolkata Knight Riders,Sold
4,WK1,Dinesh Karthik,India,TNCA,36,WICKETKEEPER,RHB,-,213,"KXIP, MI, DD, RCB, GL, KKR",KKR,Capped,200,5.5 CR,Royal Challengers Bangalore,Sold
4,WK1,Ishan Kishan,India,JSCA,23,WICKETKEEPER,LHB,-,61,"GL , MI",MI,Capped,200,15.25 CR,Mumbai Indians,Sold
4,WK1,Nicholas Pooran,West Indies,,26,WICKETKEEPER,LHB,-,33,"MI, PBKS",PBKS,Capped,150,10.75 CR,Sunrisers Hyderabad,Sold
4,WK1,Ambati Rayudu,India,ACA,36,WICKETKEEPER,RHB,-,175,"MI, CSK",CSK,Capped,200,6.75 CR,Chennai Super Kings,Sold
4,WK1,Wriddhiman Saha,India,CAB,37,WICKETKEEPER,RHB,-,133,"KKR, CSK, KXIP, SRH",SRH,Capped,100,1.90 CR,Gujarat Titans,Sold
4,WK1,Matthew Wade,Australia,,34,WICKETKEEPER,LHB,-,3,DD,,Capped,200,2.40 CR,Gujarat Titans,Sold
5,FA1,T. Natarajan,India,TNCA,30,BOWLER,LHB,LEFT ARM Fast,24,"KXIP, SRH",SRH,Capped,100,4 CR,Sunrisers Hyderabad,Sold
5,FA1,Deepak Chahar,India,RCA,29,BOWLER,RHB,RIGHT ARM Fast Medium,63,"RPS, CSK",CSK,Capped,200,14 CR,Chennai Super Kings,Sold
5,FA1,Lockie Ferguson,New Zealand,,30,BOWLER,RHB,RIGHT ARM Fast,22,"RPS, KKR",KKR,Capped,200,10 CR,Gujarat Titans,Sold
5,FA1,Josh Hazlewood,Australia,,31,BOWLER,LHB,RIGHT ARM Fast,12,CSK,CSK,Capped,200,7.75 CR,Royal Challengers Bangalore,Sold
5,FA1,Prasidh Krishna,India,KSCA,26,BOWLER,RHB,RIGHT ARM Fast,34,KKR,KKR,Capped,100,10 CR,Rajasthan Royals,Sold
5,FA1,Bhuvneshwar Kumar,India,UPCA,32,BOWLER,RHB,RIGHT ARM Fast Medium,132,"PWI, SRH",SRH,Capped,200,4.2 CR,Sunrisers Hyderabad,Sold
5,FA1,Mustafizur Rahman,Bangladesh,,26,BOWLER,LHB,LEFT ARM Fast Medium,38,"SRH, MI, RR",RR,Capped,200,2 CR,Delhi Capitals,Sold
5,FA1,Shardul Thakur,India,MCA,30,BOWLER,RHB,RIGHT ARM Fast Medium,61,"KXIP, RPS, CSK",CSK,Capped,200,10.75 CR,Delhi Capitals,Sold
5,FA1,Mark Wood,England,,32,BOWLER,RHB,RIGHT ARM Fast,1,CSK,,Capped,200,7.5 CR,Lucknow Super Giants,Sold
5,FA1,Umesh Yadav,India,VCA,34,BOWLER,RHB,RIGHT ARM Fast,121,"DD, KKR,RCB,DC",DC,Capped,200,2 CR,Kolkata Knight Riders,Sold
6,SP1,Yuzvendra Chahal,India,HCA,31,BOWLER,RHB,RIGHT ARM Leg Spin,114,"MI,RCB",RCB,Capped,200,6.5 CR,Rajasthan Royals,Sold
6,SP1,Rahul Chahar,India,RCA,22,BOWLER,RHB,RIGHT ARM Leg Spin,42,"RPS, MI",MI,Capped,75,5.25 CR,Punjab Kings,Sold
6,SP1,Kuldeep Yadav,India,UPCA,27,BOWLER,LHB,LEFT ARM Slow Unorthodox,45,KKR,KKR,Capped,100,2 CR,Delhi Capitals,Sold
7,UBA1,Dewald Brevis,South Africa,,18,BATSMAN,RHB,RIGHT ARM Leg Spin,,,,Uncapped,20,3 CR,Mumbai Indians,Sold
7,UBA1,Priyam Garg,India,UPCA,21,BATSMAN,RHB,RIGHT ARM Off Spin,19,SRH,SRH,Uncapped,20,20 L,Sunrisers Hyderabad,Sold
7,UBA1,Ashwin Hebbar,India,ACA,26,BATSMAN,RHB,RIGHT ARM Medium,,,,Uncapped,20,20 L,Delhi Capitals,Sold
7,UBA1,Abhinav Sadarangani,India,KSCA,27,BATSMAN,RHB,RIGHT ARM Leg Spin,,,,Uncapped,20,2.6 CR,Gujarat Titans,Sold
7,UBA1,Anmolpreet Singh,India,PCA,24,BATSMAN,RHB,RIGHT ARM Off Spin,1,MI,MI,Uncapped,20,20 L,Mumbai Indians,Sold
7,UBA1,Rahul Tripathi,India,MACA,31,BATSMAN,RHB,RIGHT ARM Medium,62,"RPS, RR, KKR",KKR,Uncapped,40,8.5 CR,Sunrisers Hyderabad,Sold
8,UAL1,Shahbaz Ahamad,India,CAB,27,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,13,RCB,RCB,Uncapped,30,2.4 CR,Royal Challengers Bangalore,Sold
8,UAL1,Harpreet Brar,India,PCA,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,10,PBKS,PBKS,Uncapped,20,3.8 CR,Punjab Kings,Sold
8,UAL1,Deepak Hooda,India,RCA,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,80,"RR, SRH, PBKS",PBKS,Uncapped,40,5.75 CR,Lucknow Super Giants,Sold
8,UAL1,Sarfaraz Khan,India,MCA,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,40,"RCB,PBKS",PBKS,Uncapped,20,20 L,Delhi Capitals,Sold
8,UAL1,Shahrukh Khan,India,TNCA,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,11,PBKS,PBKS,Uncapped,40,9 CR,Punjab Kings,Sold
8,UAL1,Shivam Mavi,India,UPCA,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,26,KKR,KKR,Uncapped,40,7.25 CR,Kolkata Knight Riders,Sold
8,UAL1,Kamlesh Nagarkoti,India,RCA,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,11,KKR,KKR,Uncapped,40,1.1 CR,Delhi Capitals,Sold
8,UAL1,Riyan Parag,India,ASCA,20,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,30,RR,RR,Uncapped,30,3.8 CR,Rajasthan Royals,Sold
8,UAL1,Abhishek Sharma,India,PCA,21,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,22,SRH,SRH,Uncapped,20,6.5 CR,Sunrisers Hyderabad,Sold
8,UAL1,Rahul Tewatia,India,HCA,28,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,48,"KXIP,DC, RR",RR,Uncapped,40,9 CR,Gujarat Titans,Sold
9,UWK1,Sheldon Jackson,India,SCA,35,WICKETKEEPER,RHB,-,4,KKR,KKR,Uncapped,30,60 L,Kolkata Knight Riders,Sold
9,UWK1,Anuj Rawat,India,DDCA,22,WICKETKEEPER,LHB,-,2,RR,RR,Uncapped,20,3.4 CR,Royal Challengers Bangalore,Sold
9,UWK1,Jitesh Sharma,India,VCA,28,WICKETKEEPER,RHB,-,0,MI,,Uncapped,20,20 L,Punjab Kings,Sold
9,UWK1,Prabhsimran Singh,India,PCA,21,WICKETKEEPER,RHB,-,5,PBKS,PBKS,Uncapped,20,60 L,Punjab Kings,Sold
9,UWK1,Vishnu Vinod,India,KCA,28,WICKETKEEPER,RHB,-,3,"RCB, DC",DC,Uncapped,20,50 L,Sunrisers Hyderabad,Sold
10,UFA1,Akash Deep,India,CAB,25,BOWLER,RHB,RIGHT ARM Fast Medium,0,RCB,RCB,Uncapped,20,20 L,Royal Challengers Bangalore,Sold
10,UFA1,Tushar Deshpande,India,MCA,26,BOWLER,LHB,RIGHT ARM Fast,5,DC,,Uncapped,20,20 L,Chennai Super Kings,Sold
10,UFA1,Avesh Khan,India,MPCA,25,BOWLER,RHB,RIGHT ARM Fast,25,DC,DC,Uncapped,20,10 CR,Lucknow Super Giants,Sold
10,UFA1,Ishan Porel,India,CAB,23,BOWLER,RHB,RIGHT ARM Fast Medium,1,PBKS,PBKS,Uncapped,20,25 L,Punjab Kings,Sold
10,UFA1,Basil Thampi,India,KCA,28,BOWLER,RHB,RIGHT ARM Fast Medium,20,"GL, SRH",SRH,Uncapped,30,30 L,Mumbai Indians,Sold
10,UFA1,Kartik Tyagi,India,UPCA,21,BOWLER,RHB,RIGHT ARM Fast Medium,14,RR,RR,Uncapped,20,4 CR,Sunrisers Hyderabad,Sold
11,USP1,Noor Ahmad,Afghanistan,,17,BOWLER,RHB,LEFT ARM Slow Unorthodox,,,,Uncapped,30,30 L,Gujarat Titans,Sold
11,USP1,Murugan Ashwin,India,TNCA,31,BOWLER,RHB,RIGHT ARM Leg Spin,34,"RPS, DD, RCB, PBKS",PBKS,Uncapped,20,1.6 CR,Mumbai Indians,Sold
11,USP1,Shreyas Gopal,India,KSCA,28,BOWLER,RHB,RIGHT ARM Leg Spin,48,"MI, RR",RR,Uncapped,20,75 L,Sunrisers Hyderabad,Sold
11,USP1,Jagadeesha Suchith,India,KSCA,28,BOWLER,LHB,LEFT ARM Slow Orthodox,17,"MI, DC, KXIP, SRH",SRH,Uncapped,20,20 L,Sunrisers Hyderabad,Sold
12,BA2,Aiden Markram,South Africa,,27,BATSMAN,RHB,RIGHT ARM Off Spin,6,PBKS,PBKS,Capped,100,2.60 CR,Sunrisers Hyderabad,Sold
12,BA2,Ajinkya Rahane,India,MCA,33,BATSMAN,RHB,-,151,"MI, RPS, RR, DC",DC,Capped,100,1 CR,Kolkata Knight Riders,Sold
12,BA2,Mandeep Singh,India,PCA,30,BATSMAN,RHB,RIGHT ARM Medium,105,"RCB, PBKS",PBKS,Capped,50,1.10 CR,Delhi Capitals,Sold
13,AL2,Dominic Drakes,West Indies,,24,ALL-ROUNDER,LHB,LEFT ARM Fast,0,CSK,CSK,Capped,75,1.10 CR,Gujarat Titans,Sold
13,AL2,Shivam Dube,India,MCA,28,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,24,"RCB, RR",RR,Capped,50,4 CR,Chennai Super Kings,Sold
13,AL2,K. Gowtham,India,KSCA,33,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,24,"MI, RR, KXIP, CSK",CSK,Capped,50,90 L,Lucknow Super Giants,Sold
13,AL2,Marco Jansen,South Africa,,21,ALL-ROUNDER,RHB,LEFT ARM Fast,2,MI,MI,Capped,50,4.20 CR,Sunrisers Hyderabad,Sold
13,AL2,Chris Jordan,England,,33,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,24,"RCB, SRH, PBKS",PBKS,Capped,200,3.60 CR,Chennai Super Kings,Sold
13,AL2,Liam Livingstone,England,,28,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,9,RR,RR,Capped,100,11.50 CR,Punjab Kings,Sold
13,AL2,James Neesham,New Zealand,,31,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,12,"DD, KXIP, MI",MI,Capped,150,1.50 CR,Rajasthan Royals,Sold
13,AL2,Vijay Shankar,India,TNCA,31,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,47,"CSK, DD, SRH",SRH,Capped,50,1.40 CR,Gujarat Titans,Sold
13,AL2,Odean Smith,West Indies,,25,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,Capped,100,6 CR,Punjab Kings,Sold
13,AL2,Jayant Yadav,India,HCA,32,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,19,"DD, MI",MI,Capped,100,1.70 CR,Gujarat Titans,Sold
14,FA2,Dushmanta Chameera,Sri Lanka,,30,BOWLER,RHB,RIGHT ARM Fast,0,RR,,Capped,50,2 CR,Lucknow Super Giants,Sold
14,FA2,Nathan Coulter-Nile,Australia,,34,BOWLER,RHB,RIGHT ARM Fast Medium,38,"DD, KKR, RCB, MI",MI,Capped,200,2 CR,Rajasthan Royals,Sold
14,FA2,Navdeep Saini,India,DDCA,29,BOWLER,RHB,RIGHT ARM Fast,28,"DD, RCB",RCB,Capped,75,2.60 CR,Rajasthan Royals,Sold
14,FA2,Chetan Sakariya,India,SCA,24,BOWLER,LHB,LEFT ARM Fast Medium,14,RR,RR,Capped,50,4.20 CR,Delhi Capitals,Sold
14,FA2,Sandeep Sharma,India,UTCA,28,BOWLER,RHB,RIGHT ARM Fast Medium,99,"KXIP, SRH",SRH,Capped,50,50 L,Punjab Kings,Sold
14,FA2,Jaydev Unadkat,India,SCA,30,BOWLER,RHB,LEFT ARM Fast Medium,86,"KKR,RCB, DD, RPS, RR",RR,Capped,75,1.30 CR,Mumbai Indians,Sold
15,SP2,Mayank Markande,India,PCA,24,BOWLER,RHB,RIGHT ARM Leg Spin,18,"MI, RR",RR,Capped,50,65 L,Mumbai Indians,Sold
15,SP2,Shahbaz Nadeem,India,JSCA,32,BOWLER,RHB,LEFT ARM Slow Orthodox,72,"DD, SRH",SRH,Capped,50,50 L,Lucknow Super Giants,Sold
15,SP2,Karn Sharma,India,RSPB,34,BOWLER,LHB,RIGHT ARM Leg Spin,68,"RCB, SRH, MI, CSK",CSK,Capped,50,50 L,Royal Challengers Bangalore,Sold
15,SP2,Maheesh Theekshana,Sri Lanka,,21,BOWLER,RHB,RIGHT ARM Off Spin,,,,Capped,50,70 L,Chennai Super Kings,Sold
16,UBA2,Rinku Singh,India,UPCA,24,BATSMAN,LHB,RIGHT ARM Off Spin,11,KKR,,Uncapped,20,55 L,Kolkata Knight Riders,Sold
16,UBA2,Manan Vohra,India,UTCA,28,BATSMAN,RHB,-,53,"KXIP, RCB, RR",RR,Uncapped,20,20 L,Lucknow Super Giants,Sold
17,UAL2,Yash Dhull,India,DDCA,19,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,20,50 L,Delhi Capitals,Sold
17,UAL2,Rajvardhan Hangargekar,India,MACA,19,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,Uncapped,30,1.50 CR,Chennai Super Kings,Sold
17,UAL2,Mahipal Lomror,India,RCA,22,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,11,RR,RR,Uncapped,40,95 L,Royal Challengers Bangalore,Sold
17,UAL2,Darshan Nalkande,India,VCA,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,PBKS,PBKS,Uncapped,20,20 L,Gujarat Titans,Sold
17,UAL2,Vicky Ostwal,India,MACA,19,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,20 L,Delhi Capitals,Sold
17,UAL2,Ripal Patel,India,GUCA,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,2,DC,DC,Uncapped,20,20 L,Delhi Capitals,Sold
17,UAL2,Anukul Roy,India,JSCA,23,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,1,MI,MI,Uncapped,20,20 L,Kolkata Knight Riders,Sold
17,UAL2,Lalit Yadav,India,DDCA,25,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,7,DC,DC,Uncapped,20,65 L,Delhi Capitals,Sold
17,UAL2,Sanjay Yadav,India,TNCA,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,"KKR, SRH",,Uncapped,20,50 L,Mumbai Indians,Sold
18,UFA2,Yash Dayal,India,UPCA,24,BOWLER,RHB,LEFT ARM Fast,,,,Uncapped,20,3.20 CR,Gujarat Titans,Sold
18,UFA2,Kuldeep Sen,India,MPCA,25,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,20 L,Rajasthan Royals,Sold
18,UFA2,Simarjeet Singh,India,DDCA,24,BOWLER,RHB,RIGHT ARM Fast,0,MI,MI,Uncapped,20,20 L,Chennai Super Kings,Sold
19,BA3,Finn Allen,New Zealand,,22,BATSMAN,RHB,RIGHT ARM Off Spin,0,RCB,RCB,Capped,50,80 L,Royal Challengers Bangalore,Sold
19,BA3,Devon Conway,New Zealand,,30,BATSMAN,LHB,RIGHT ARM Medium,,,,Capped,100,1 CR,Chennai Super Kings,Sold
19,BA3,Alex Hales,England,,33,BATSMAN,RHB,-,6,"MI, SRH",,Capped,150,1.50 CR,Kolkata Knight Riders,Sold
19,BA3,Evin Lewis,West Indies,,30,BATSMAN,LHB,-,21,"MI, RR",RR,Capped,200,2 CR,Lucknow Super Giants,Sold
19,BA3,Karun Nair,India,KSCA,30,BATSMAN,RHB,RIGHT ARM Off Spin,73,"RCB, RR, DD, KXIP, KKR",KKR,Capped,50,1.40 CR,Rajasthan Royals,Sold
19,BA3,Rovman Powell,West Indies,,28,BATSMAN,RHB,RIGHT ARM Fast Medium,0,KKR,,Capped,75,2.80 CR,Delhi Capitals,Sold
20,AL3,Jofra Archer,England,,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,35,RR,RR,Capped,200,8 CR,Mumbai Indians,Sold
20,AL3,Rishi Dhawan,India,HPCA,32,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,26,"MI, KXIP, KKR",,Capped,50,55 L,Punjab Kings,Sold
20,AL3,Daryl Mitchell,New Zealand,,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,Capped,75,75 L,Rajasthan Royals,Sold
20,AL3,Dwaine Pretorius,South Africa,,33,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Capped,50,50 L,Chennai Super Kings,Sold
20,AL3,Sherfane Rutherford,West Indies,,23,ALL-ROUNDER,LHB,RIGHT ARM Medium,7,"DC, MI",,Capped,100,1 CR,Royal Challengers Bangalore,Sold
20,AL3,Daniel Sams,Australia,,29,ALL-ROUNDER,RHB,LEFT ARM Fast Medium,5,"DC, RCB",RCB,Capped,100,2.60 CR,Mumbai Indians,Sold
20,AL3,Mitchell Santner,New Zealand,,30,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,6,CSK,CSK,Capped,100,1.90 CR,Chennai Super Kings,Sold
20,AL3,Romario Shepherd,West Indies,,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Capped,75,7.75 CR,Sunrisers Hyderabad,Sold
21,WK2,Glenn Phillips,New Zealand,,25,WICKETKEEPER,RHB,RIGHT ARM Off Spin,3,,RR,Capped,150,1.50 CR,Sunrisers Hyderabad,Sold
21,WK2,Tim Seifert,New Zealand,,27,WICKETKEEPER,RHB,-,1,KKR,KKR,Capped,50,50 L,Delhi Capitals,Sold
22,FA3,Jason Behrendorff,Australia,,31,BOWLER,RHB,LEFT ARM Fast Medium,5,"MI, CSK",CSK,Capped,75,75 L,Royal Challengers Bangalore,Sold
22,FA3,Nathan Ellis,Australia,,27,BOWLER,RHB,RIGHT ARM Fast Medium,3,PBKS,PBKS,Capped,75,75 L,Punjab Kings,Sold
22,FA3,Fazalhaq Farooqi,Afghanistan,,21,BOWLER,RHB,LEFT ARM Fast Medium,,,,Capped,50,50 L,Sunrisers Hyderabad,Sold
22,FA3,Siddharth Kaul,India,PCA,31,BOWLER,RHB,RIGHT ARM Fast Medium,54,"KKR, DD, SRH",SRH,Capped,75,75 L,Royal Challengers Bangalore,Sold
22,FA3,Obed Mccoy,West Indies,,25,BOWLER,LHB,LEFT ARM Fast,,,,Capped,75,75 L,Rajasthan Royals,Sold
22,FA3,Tymal Mills,England,,29,BOWLER,RHB,LEFT ARM Fast,5,RCB,,Capped,100,1.50 CR,Mumbai Indians,Sold
22,FA3,Adam Milne,New Zealand,,29,BOWLER,RHB,RIGHT ARM Fast,9,"RCB, MI",MI,Capped,150,1.90 L,Chennai Super Kings,Sold
24,UBA3,Subhranshu Senapati,India,OCA,25,BATSMAN,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,20 L,Chennai Super Kings,Sold
25,UAL3,Tim David,Australia,,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,1,RCB,RCB,Uncapped,40,8.25 CR,Mumbai Indians,Sold
25,UAL3,Pravin Dubey,India,KSCA,28,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,3,"RCB, DC",DC,Uncapped,20,50 L,Delhi Capitals,Sold
25,UAL3,Prerak Mankad,India,SCA,27,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,Uncapped,20,20 L,Punjab Kings,Sold
25,UAL3,Suyash Prabhudessai,India,GCA,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,RCB,RCB,Uncapped,20,30 L,Royal Challengers Bangalore,Sold
25,UAL3,Ramandeep Singh,India,PCA,24,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,Uncapped,20,20 L,Mumbai Indians,Sold
26,UWK2,Dhruv Jurel,India,UPCA,21,WICKETKEEPER,RHB,-,,,,Uncapped,20,20 L,Rajasthan Royals,Sold
26,UWK2,Aryan Juyal,India,UPCA,20,WICKETKEEPER,RHB,-,,,,Uncapped,20,20 L,Mumbai Indians,Sold
26,UWK2,Luvnith Sisodia,India,KSCA,22,WICKETKEEPER,LHB,RIGHT ARM Off Spin,,,,Uncapped,20,20 L,Royal Challengers Bangalore,Sold
27,UFA3,Vaibhav Arora,India,HPCA,24,BOWLER,RHB,RIGHT ARM Fast Medium,0,KKR,KKR,Uncapped,20,2 CR,Punjab Kings,Sold
27,UFA3,Mukesh Choudhary,India,MACA,25,BOWLER,LHB,LEFT ARM Fast,,,,Uncapped,20,20 L,Chennai Super Kings,Sold
27,UFA3,Rasikh Dar,India,JKCA,22,BOWLER,RHB,RIGHT ARM Fast Medium,1,MI,,Uncapped,20,20 L,Kolkata Knight Riders,Sold
27,UFA3,Mohsin Khan,India,UPCA,23,BOWLER,LHB,LEFT ARM Fast Medium,0,MI,MI,Uncapped,20,20 L,Luknow Super Giants,Sold
27,UFA3,Chama Milind,India,HYCA,27,BOWLER,LHB,LEFT ARM Fast,0,"SRH, DD",,Uncapped,20,25 L,Royal Challengers Bangalore,Sold
27,UFA3,Mayank Yadav,India,DDCA,19,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,20 L,Lucknow Super Giants,Sold
28,USP2,Tejas Baroka,India,DDCA,26,BOWLER,RHB,RIGHT ARM Leg Spin,1,GL,,Uncapped,20,20 L,Rajasthan Royals,Sold
28,USP2,Prashant Solanki,India,MCA,22,BOWLER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,20,1.20 CR,Chennai Super Kings,Sold
30,AL4,Fabian Allen,West Indies,,26,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,4,,,Capped,75,75 L,Mumbai Indians,Sold
30,AL4,Gurkeerat Singh,India,PCA,31,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,41,,KKR,Capped,50,50 L,Gujarat Titan,Sold
31,FA4,Sean Abbott,Australia,,30,BOWLER,RHB,RIGHT ARM Fast,2,RCB,,Capped,75,2.40 CR,Sunrisers Hyderabad,Sold
31,FA4,Alzarri Joseph,West Indies,,25,BOWLER,RHB,RIGHT ARM Fast,3,MI,,Capped,75,2.40 CR,Gujarat Titans,Sold
31,FA4,Riley Meredith,Australia,,25,BOWLER,RHB,RIGHT ARM Fast,5,PBKS,PBKS,Capped,100,1 CR,Mumbai Indians,Sold
31,FA4,Tim Southee,New Zealand,,33,BOWLER,RHB,RIGHT ARM Fast,43,"CSK, RR, MI, RCB, KKR",KKR,Capped,150,1.50 CR,Kolkata Knight Riders,Sold
32,UBA4,Rahul Buddhi,India,HYCA,24,BATSMAN,LHB,RIGHT ARM Leg Spin,,,,Uncapped,20,20 L,Mumbai Indians,Sold
33,UAL4,Ayush Badoni,India,DDCA,22,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,20,20 L,Lucknow Super Giants,Sold
