Vaccine,Country Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
IBCG,Mauritania,78,95,99,96,94,91,86,92,89,81,85,86,95,95,93,85,86,90,90,90
IBCG,Mauritius,88,89,87,99,99,99,97,98,96,95,99,99,99,99,97,98,98,99,99,99
IBCG,Mexico,99,99,99,99,99,99,99,99,99,99,98,99,99,91,96,98,99,94,96,76
IBCG,"Micronesia, Fed. Sts.",24,39,52,64,62,70,55,82,79,75,70,75,78,70,73,76,85,83,80,77
IBCG,Middle East & North Africa,94.87310981,92.92237633,92.34775817,92.64368234,92.65474328,93.39056765,93.57481449,93.68955064,93.35164086,93.90073417,94.45673851,93.77286315,93.72805386,95.35243023,94.74665334,91.62813396,93.81933121,91.24264019,93.0389501,91.18693778
IBCG,Middle East & North Africa (excluding high income),94.88586246,92.74420327,91.78897239,92.43863052,92.35896098,93.08908542,93.42156455,93.41200924,92.83819572,93.44229692,94.06394155,93.32843037,93.2573683,95.04046612,94.52002202,91.00212995,93.40405954,90.65010301,92.57667782,93.68375747
IBCG,Middle East & North Africa (IDA & IBRD countries),94.9398014,92.66648561,91.71284777,92.32202768,92.26030177,92.98674657,93.32695413,93.31613218,92.73236166,93.34688059,93.99667654,93.24847492,93.17818905,94.9752253,94.44702668,90.8727917,93.31437098,90.51657263,92.47400288,93.59849104
IBCG,Middle income,82.61133048,82.73777651,82.53837925,83.23765199,84.49937298,86.30653977,87.91971428,88.61310854,89.51341463,90.91132484,90.68980701,91.72744334,91.04246834,90.97343779,90.3640141,89.54518135,90.69279916,91.26681213,91.16407281,90.40507404
IBCG,Moldova,99,99,99,99,99,97,99,98,98,96,98,98,99,96,97,97,97,96,96,94
IBCG,Monaco,97,94,92,89,89,89,89,89,89,89,89,89,89,..,..,..,..,..,..,..
